iter	Passed	Remaining
868	69062	10411
869	69136	10330
870	69217	10251
871	69292	10171
872	69369	10091
873	69440	10010
874	69528	9932
875	69604	9852
876	69683	9773
877	69756	9692
878	69835	9613
879	69935	9536
880	70052	9462
881	70159	9386
882	70246	9307
883	70329	9228
884	70419	9150
885	70509	9072
886	70595	8993
887	70684	8915
888	70772	8836
889	70859	8757
890	70970	8682
891	71095	8608
892	71180	8528
893	71273	8450
894	71350	8370
895	71430	8291
896	71508	8211
897	71592	8131
898	71669	8051
899	71752	7972
900	71829	7892
901	71931	7815
902	72012	7735
903	72094	7656
904	72170	7575
905	72253	7496
906	72331	7416
907	72412	7336
908	72485	7256
909	72569	7177
910	72642	7096
911	72731	7017
912	72811	6938
913	72900	6859
914	72976	6779
915	73059	6699
916	73132	6619
917	73212	6539
918	73287	6459
919	73368	6379
920	73449	6300
921	73529	6220
922	73603	6140
923	73694	6061
924	73773	5981
925	73864	5902
926	73938	5822
927	74021	5743
928	74095	5662
929	74178	5583
930	74253	5503
931	74334	5423
932	74412	5343
933	74494	5264
934	74572	5184
935	74652	5104
936	74735	5024
937	74813	4945
938	74891	4865
939	74972	4785
940	75050	4705
941	75136	4626
942	75213	4546
943	75299	4466
944	75385	4387
945	75462	4307
946	75539	4227
947	75622	4148
948	75705	4068
949	75787	3988
950	75862	3908
951	75947	3829
952	76025	3749
953	76108	3669
954	76181	3589
955	76261	3509
956	76338	3430
957	76428	3350
958	76502	3270
959	76584	3191
960	76656	3110
961	76736	3031
962	76816	2951
963	76898	2871
964	76972	2791
965	77053	2712
966	77128	2632
967	77212	2552
968	77287	2472
969	77367	2392
970	77442	2312
971	77524	2233
972	77601	2153
973	77685	2073
974	77759	1993
975	77841	1914
976	77914	1834
977	77995	1754
978	78072	1674
979	78156	1595
980	78230	1515
981	78311	1435
982	78388	1355
983	78468	1275
984	78545	1196
985	78628	1116
986	78704	1036
987	78787	956
988	78862	877
989	78946	797
990	79024	717
991	79104	637
992	79178	558
993	79259	478
994	79333	398
995	79420	318
996	79500	239
997	79583	159
998	79656	79
999	79740	0
